点序号	接近中心度	介数中心度
   863	  0.831095	  0.028457
   864	  0.798409	  0.052313
   865	  0.763145	  0.031736
   866	  0.702946	  0.009315
   867	  0.853115	  0.086445
   868	  0.629332	  0.003858
   869	  0.863887	  0.088377
   870	  0.752197	  0.030396
   871	  0.720175	  0.013764
   872	  0.780653	  0.050083
   873	  0.702064	  0.009663
   874	  0.694252	  0.040213
   875	  0.784108	  0.064432
   876	  0.807905	  0.060585
   877	  0.000000	  0.000000
   878	  0.740950	  0.032986
   879	  0.636297	  0.002527
   880	  0.649228	  0.005327
   881	  0.656991	  0.017719
   882	  0.699871	  0.013779
   883	  0.794371	  0.051554
   884	  0.747666	  0.012959
   885	  0.718502	  0.008249
   886	  0.741396	  0.046690
   887	  0.820475	  0.088007
   888	  0.759385	  0.036982
   889	  0.721888	  0.023123
   890	  0.666884	  0.004571
   891	  0.742061	  0.085053
   892	  0.716677	  0.011609
   893	  0.838945	  0.161786
   894	  0.641738	  0.001451
   895	  0.612770	  0.007495
   896	  0.719349	  0.032155
   897	  0.714180	  0.041227
   898	  0.736136	  0.028989
   899	  0.673874	  0.005245
   900	  0.657981	  0.003572
   901	  0.773509	  0.033766
   902	  0.758069	  0.048378
   903	  0.742744	  0.020084
   904	  0.679935	  0.004587
   905	  0.692403	  0.011616
   906	  0.655677	  0.000534
   907	  0.699137	  0.022007
   908	  0.666640	  0.034309
   909	  0.609583	  0.002103
   910	  0.645288	  0.005570
   911	  0.791777	  0.052416
   912	  0.235682	  0.000000
   913	  0.730896	  0.017260
   914	  0.715028	  0.019608
   915	  0.745527	  0.041155
   916	  0.671481	  0.002746
   917	  0.772901	  0.060487
   918	  0.685265	  0.009919
   919	  0.669157	  0.003011
   920	  0.769228	  0.028459
   921	  0.714541	  0.029876
   922	  0.727826	  0.021075
   923	  0.658246	  0.010665
   924	  0.708029	  0.021810
   925	  0.666656	  0.012643
   926	  0.889137	  0.141764
   927	  0.699672	  0.044840
   928	  0.795162	  0.064552
   929	  0.710924	  0.017042
   930	  0.716977	  0.036945
   931	  0.839326	  0.023064
   932	  0.709794	  0.021559
   933	  0.722156	  0.007233
   934	  0.831533	  0.048288
   935	  0.941268	  0.188134
   936	  0.654979	  0.002044
   937	  0.786760	  0.024920
   938	  0.618899	  0.001323
   939	  0.665634	  0.014714
   940	  0.719624	  0.011684
   941	  0.744910	  0.040150
   942	  0.648025	  0.008561
   943	  0.728249	  0.033391
   944	  0.667953	  0.003661
   945	  0.829739	  0.022902
   946	  0.781316	  0.104964
   947	  0.765240	  0.041405
   948	  0.672757	  0.011713
   949	  0.712552	  0.019617
   950	  0.671424	  0.004694
   951	  0.839400	  0.179270
   952	  0.733764	  0.051527
   953	  0.741748	  0.028264
   954	  0.707425	  0.022684
   955	  0.561497	  0.000522
   956	  0.922689	  0.196965
   957	  0.683814	  0.011017
   958	  0.747795	  0.010853
   959	  0.648457	  0.013297
   960	  0.598980	  0.001103
   961	  0.645352	  0.028737
   962	  0.708100	  0.014754
   963	  0.868921	  0.133965
   964	  0.678858	  0.007573
   965	  0.745711	  0.056288
   966	  0.670532	  0.004601
   967	  0.767904	  0.045234
   968	  0.816586	  0.039837
   969	  0.746962	  0.048681
   970	  0.705281	  0.014536
